VWC2L
LRRN1
OR6C2
C1QTNF9
SPINK9
PAFAH1B3
TUSC3
OR10J5
OMD
IL18RAP
FN1
ADAM18
HRASLS5
HEPHL1
ADAMTS16
C6orf52
KCNJ10
VIPR2
OR4D10
SYNGR2
ACSS3
ARNT2
DEFB115
G6PC
VEPH1
ZNF793
SOX6
UNC79
GPR1
FUT3
FASLG
IFNA17
TP53TG3
BCL11B
IFNA13
HOPX
AADAC
C12orf54
ROR2
TXNDC8
OR9Q2
OR6C3
C11orf40
ZSCAN5C
SHISA4
LRRC66
KRTAP21-2
C12orf56
OPALIN
SLC2A2
KRT36
OR52D1
TMC7
LYPD6
DEFA5
ST8SIA1
ACCSL
KRTAP4-7
OR4E2
OSBP2
CTXN3
NALCN
OR8D4
OR11A1
GFRA3
KRTAP9-8
PRSS37
GRM5
OR2AG1
RGR
OR8A1
ACTL7B
WBSCR28
OR5M8
KLHL25
PCLO
ZNF683
LPAR3
OR52E6
SNAI2
OR6Q1
OR6K2
COL3A1
DRD2
KIR2DS4
TMPRSS11E
ZNF578
GPR148
SLAMF1
KCNA4
OR7C1
NR0B2
ESPNL
C3orf70
OR51H1P
KRTAP9-2
RTDR1
ADAMTS12
SPATA3
SYN2
TPTE
KRTAP1-3
OR52A1
KRTAP5-1
ATXN3L
GTF2IRD1
CLPS
KCNA10
PLG
RASGRF2
STATH
SLC36A2
FGFR2
CSNK1A1L
OR6P1
LELP1
OR6V1
BAAT
C16orf92
HTR4
NIPAL4
CELA2B
ARMC3
PARK2
LCNL1
UNC13C
C6orf222
PGLYRP4
MOG
GML
C9orf57
OR52J3
OR1S2
GPR139
TEX19
FDCSP
LY6G6C
HTR1B
KRT6B
TMEM202
SHE
IGSF11
B3GALT5
OR5L2
TMEM74B
ZNF454
BDKRB1
OTOL1
CFHR5
CARTPT
POM121L2
KRT25
CSN3
SSX7
OR5AP2
OR8H1
HMGCS2
OR1N1
